time,into,inth,intl,intc,intvwap,intv,v,intoi,oi
13-10-2023 10:24:00,19683.90,19687.35,19683.60,19687.35,0.00,0,0,0,0
13-10-2023 10:25:00,19687.00,19689.40,19686.65,19687.20,0.00,0,0,0,0
13-10-2023 10:26:00,19687.75,19687.80,19684.10,19684.10,0.00,0,0,0,0
13-10-2023 10:27:00,19684.40,19687.55,19683.40,19686.00,0.00,0,0,0,0
13-10-2023 10:28:00,19686.15,19687.65,19685.20,19685.20,0.00,0,0,0,0
13-10-2023 10:29:00,19686.30,19686.55,19684.05,19685.20,0.00,0,0,0,0
13-10-2023 10:30:00,19685.10,19685.90,19682.25,19683.85,0.00,0,0,0,0
13-10-2023 10:31:00,19683.65,19686.05,19682.80,19684.80,0.00,0,0,0,0
13-10-2023 10:32:00,19685.05,19687.30,19684.90,19686.00,0.00,0,0,0,0
13-10-2023 10:33:00,19685.50,19687.30,19684.20,19687.00,0.00,0,0,0,0
13-10-2023 10:34:00,19687.50,19704.00,19687.50,19697.10,0.00,0,0,0,0
13-10-2023 10:35:00,19698.75,19700.70,19693.45,19694.30,0.00,0,0,0,0
13-10-2023 10:36:00,19694.40,19695.20,19690.95,19694.70,0.00,0,0,0,0
13-10-2023 10:37:00,19694.40,19700.65,19693.65,19693.65,0.00,0,0,0,0
13-10-2023 10:38:00,19692.40,19697.25,19692.15,19694.00,0.00,0,0,0,0
13-10-2023 10:39:00,19694.25,19695.45,19692.15,19694.45,0.00,0,0,0,0
13-10-2023 10:40:00,19693.70,19694.75,19691.55,19693.40,0.00,0,0,0,0
13-10-2023 10:41:00,19692.95,19693.80,19687.80,19688.60,0.00,0,0,0,0
13-10-2023 10:42:00,19689.10,19690.15,19686.05,19686.95,0.00,0,0,0,0
13-10-2023 10:43:00,19687.65,19687.65,19682.50,19682.85,0.00,0,0,0,0
13-10-2023 10:44:00,19683.05,19687.20,19682.45,19685.25,0.00,0,0,0,0
13-10-2023 10:45:00,19685.90,19686.65,19681.90,19681.90,0.00,0,0,0,0
13-10-2023 10:46:00,19682.00,19682.60,19675.50,19676.15,0.00,0,0,0,0
13-10-2023 10:47:00,19675.75,19677.90,19674.70,19675.10,0.00,0,0,0,0
13-10-2023 10:48:00,19675.50,19677.45,19674.50,19676.30,0.00,0,0,0,0
13-10-2023 10:49:00,19676.55,19678.65,19675.55,19677.55,0.00,0,0,0,0
13-10-2023 10:50:00,19677.20,19679.05,19675.60,19677.25,0.00,0,0,0,0
13-10-2023 10:51:00,19678.00,19680.85,19677.25,19678.25,0.00,0,0,0,0
13-10-2023 10:52:00,19678.40,19679.05,19675.80,19677.10,0.00,0,0,0,0
13-10-2023 10:53:00,19677.20,19677.85,19674.75,19675.30,0.00,0,0,0,0
13-10-2023 10:54:00,19675.35,19676.90,19674.35,19675.35,0.00,0,0,0,0
13-10-2023 10:55:00,19675.85,19676.65,19675.10,19676.10,0.00,0,0,0,0
13-10-2023 10:56:00,19676.45,19680.05,19675.55,19678.95,0.00,0,0,0,0
13-10-2023 10:57:00,19678.45,19678.90,19676.65,19678.00,0.00,0,0,0,0
13-10-2023 10:58:00,19678.35,19678.35,19674.85,19675.60,0.00,0,0,0,0
