time,into,inth,intl,intc,intvwap,intv,v,intoi,oi
09-10-2023 10:15:00,19573.95,19574.85,19567.60,19569.90,0.00,0,0,0,0
09-10-2023 10:16:00,19570.10,19570.85,19566.60,19566.70,0.00,0,0,0,0
09-10-2023 10:17:00,19567.45,19574.60,19566.85,19574.30,0.00,0,0,0,0
09-10-2023 10:18:00,19575.60,19577.85,19574.05,19577.80,0.00,0,0,0,0
09-10-2023 10:19:00,19578.60,19583.35,19577.80,19582.55,0.00,0,0,0,0
09-10-2023 10:20:00,19582.65,19583.25,19578.60,19580.60,0.00,0,0,0,0
09-10-2023 10:21:00,19580.30,19588.60,19579.80,19586.45,0.00,0,0,0,0
09-10-2023 10:22:00,19586.90,19588.35,19580.05,19580.80,0.00,0,0,0,0
09-10-2023 10:23:00,19580.50,19586.45,19579.60,19580.70,0.00,0,0,0,0
09-10-2023 10:24:00,19580.85,19580.85,19567.70,19568.85,0.00,0,0,0,0
09-10-2023 10:25:00,19568.05,19571.40,19566.75,19571.40,0.00,0,0,0,0
09-10-2023 13:05:00,19507.40,19510.50,19505.95,19510.50,0.00,0,0,0,0
09-10-2023 13:06:00,19510.15,19521.10,19509.15,19520.85,0.00,0,0,0,0
09-10-2023 13:07:00,19521.10,19523.05,19517.70,19522.20,0.00,0,0,0,0
09-10-2023 13:08:00,19525.35,19525.40,19520.50,19520.85,0.00,0,0,0,0
09-10-2023 13:09:00,19521.55,19521.55,19514.55,19514.95,0.00,0,0,0,0
09-10-2023 13:10:00,19514.55,19514.55,19506.35,19507.60,0.00,0,0,0,0
09-10-2023 13:11:00,19507.10,19509.90,19506.20,19507.40,0.00,0,0,0,0
09-10-2023 13:12:00,19507.50,19511.35,19507.10,19509.05,0.00,0,0,0,0
09-10-2023 13:13:00,19508.65,19511.10,19507.95,19510.20,0.00,0,0,0,0
09-10-2023 13:14:00,19509.85,19513.75,19508.80,19510.55,0.00,0,0,0,0
09-10-2023 13:15:00,19510.15,19511.90,19508.55,19509.75,0.00,0,0,0,0
09-10-2023 13:16:00,19509.45,19511.15,19507.15,19509.20,0.00,0,0,0,0
09-10-2023 13:17:00,19508.75,19511.80,19508.65,19509.35,0.00,0,0,0,0
09-10-2023 13:18:00,19509.40,19512.60,19509.10,19510.90,0.00,0,0,0,0
09-10-2023 13:19:00,19511.20,19518.50,19511.20,19517.30,0.00,0,0,0,0
09-10-2023 13:20:00,19518.15,19522.55,19518.00,19522.25,0.00,0,0,0,0
09-10-2023 13:21:00,19521.80,19524.40,19521.15,19521.35,0.00,0,0,0,0
09-10-2023 13:22:00,19521.90,19522.40,19518.20,19519.95,0.00,0,0,0,0
09-10-2023 13:23:00,19519.85,19526.55,19519.45,19524.35,0.00,0,0,0,0
09-10-2023 13:24:00,19525.00,19525.45,19522.95,19523.90,0.00,0,0,0,0
09-10-2023 13:25:00,19524.20,19525.25,19522.80,19523.50,0.00,0,0,0,0
09-10-2023 13:26:00,19523.70,19527.65,19523.00,19523.35,0.00,0,0,0,0
09-10-2023 13:27:00,19524.40,19527.60,19523.45,19525.55,0.00,0,0,0,0
09-10-2023 13:28:00,19525.70,19526.95,19523.25,19524.15,0.00,0,0,0,0
09-10-2023 13:29:00,19523.90,19525.15,19517.05,19518.90,0.00,0,0,0,0
09-10-2023 13:30:00,19518.65,19524.20,19518.65,19524.05,0.00,0,0,0,0
09-10-2023 13:31:00,19523.40,19527.00,19523.20,19523.95,0.00,0,0,0,0
09-10-2023 13:32:00,19524.75,19526.40,19524.30,19525.25,0.00,0,0,0,0
09-10-2023 13:33:00,19525.40,19529.05,19525.40,19528.35,0.00,0,0,0,0
09-10-2023 13:34:00,19528.95,19529.70,19526.50,19528.00,0.00,0,0,0,0
09-10-2023 13:35:00,19528.35,19531.80,19528.05,19529.90,0.00,0,0,0,0
09-10-2023 13:36:00,19530.00,19534.25,19528.80,19530.70,0.00,0,0,0,0
09-10-2023 13:37:00,19530.90,19531.00,19522.10,19522.80,0.00,0,0,0,0
09-10-2023 13:38:00,19522.55,19527.00,19522.40,19526.35,0.00,0,0,0,0
09-10-2023 13:39:00,19528.60,19528.60,19524.70,19524.85,0.00,0,0,0,0
09-10-2023 13:40:00,19525.20,19527.95,19524.75,19527.75,0.00,0,0,0,0
09-10-2023 13:41:00,19527.00,19532.00,19527.00,19530.90,0.00,0,0,0,0
09-10-2023 13:42:00,19531.00,19532.60,19528.60,19529.75,0.00,0,0,0,0
09-10-2023 13:43:00,19529.20,19531.40,19528.85,19531.40,0.00,0,0,0,0
09-10-2023 13:44:00,19531.70,19532.70,19528.65,19529.65,0.00,0,0,0,0
09-10-2023 13:45:00,19530.00,19530.50,19527.00,19527.80,0.00,0,0,0,0
09-10-2023 13:46:00,19527.60,19527.90,19523.10,19525.05,0.00,0,0,0,0
09-10-2023 13:47:00,19524.95,19525.70,19520.60,19521.30,0.00,0,0,0,0
