time,into,inth,intl,intc,intvwap,intv,v,intoi,oi
29-09-2023 10:46:00,19583.95,19585.50,19582.70,19585.20,0.00,0,0,0,0
29-09-2023 10:45:00,19588.30,19588.55,19583.20,19584.00,0.00,0,0,0,0
29-09-2023 10:44:00,19588.35,19591.95,19587.45,19588.85,0.00,0,0,0,0
29-09-2023 10:43:00,19587.60,19590.30,19586.95,19587.95,0.00,0,0,0,0
29-09-2023 10:42:00,19589.90,19591.40,19586.90,19588.00,0.00,0,0,0,0
29-09-2023 10:41:00,19587.00,19589.70,19584.05,19589.60,0.00,0,0,0,0
29-09-2023 10:40:00,19587.55,19587.55,19583.65,19586.05,0.00,0,0,0,0
29-09-2023 10:39:00,19597.90,19597.90,19588.45,19588.90,0.00,0,0,0,0
29-09-2023 10:38:00,19597.75,19601.90,19596.75,19597.70,0.00,0,0,0,0
29-09-2023 10:37:00,19591.50,19598.85,19591.50,19597.05,0.00,0,0,0,0
29-09-2023 10:36:00,19591.25,19592.90,19590.55,19591.90,0.00,0,0,0,0
29-09-2023 10:35:00,19588.90,19593.65,19587.45,19592.20,0.00,0,0,0,0
29-09-2023 10:34:00,19586.85,19589.25,19585.45,19588.65,0.00,0,0,0,0
29-09-2023 10:33:00,19586.45,19591.60,19586.30,19587.30,0.00,0,0,0,0
29-09-2023 10:32:00,19584.60,19587.60,19582.75,19585.85,0.00,0,0,0,0
29-09-2023 10:31:00,19583.90,19587.45,19583.50,19584.80,0.00,0,0,0,0
29-09-2023 10:30:00,19584.70,19586.65,19583.20,19583.20,0.00,0,0,0,0
29-09-2023 10:29:00,19590.35,19590.40,19584.10,19584.25,0.00,0,0,0,0
29-09-2023 10:28:00,19587.75,19592.95,19587.55,19589.90,0.00,0,0,0,0
29-09-2023 10:27:00,19588.15,19592.00,19586.80,19587.55,0.00,0,0,0,0
29-09-2023 10:26:00,19581.60,19589.75,19580.90,19588.40,0.00,0,0,0,0
29-09-2023 10:25:00,19595.00,19595.00,19575.20,19580.30,0.00,0,0,0,0
29-09-2023 10:24:00,19592.80,19598.35,19592.30,19596.05,0.00,0,0,0,0
29-09-2023 10:23:00,19599.65,19600.10,19591.40,19592.30,0.00,0,0,0,0
29-09-2023 10:22:00,19600.25,19601.80,19598.70,19599.05,0.00,0,0,0,0
29-09-2023 10:21:00,19600.10,19603.80,19598.00,19600.05,0.00,0,0,0,0
29-09-2023 10:20:00,19599.20,19602.05,19596.15,19600.25,0.00,0,0,0,0
29-09-2023 10:19:00,19600.10,19601.25,19598.30,19598.70,0.00,0,0,0,0
29-09-2023 10:18:00,19604.05,19606.00,19599.20,19599.95,0.00,0,0,0,0
29-09-2023 10:17:00,19600.25,19605.75,19600.25,19603.75,0.00,0,0,0,0
29-09-2023 10:16:00,19601.60,19607.75,19599.30,19600.35,0.00,0,0,0,0
29-09-2023 10:15:00,19597.45,19604.40,19597.45,19601.05,0.00,0,0,0,0
29-09-2023 10:14:00,19591.65,19596.75,19590.80,19596.75,0.00,0,0,0,0
29-09-2023 10:13:00,19593.70,19594.80,19590.30,19591.70,0.00,0,0,0,0
29-09-2023 10:12:00,19598.00,19599.05,19592.00,19594.50,0.00,0,0,0,0
29-09-2023 10:11:00,19596.30,19599.70,19595.50,19598.70,0.00,0,0,0,0
29-09-2023 10:10:00,19597.90,19597.90,19591.80,19597.40,0.00,0,0,0,0
29-09-2023 10:09:00,19598.80,19599.45,19594.50,19597.35,0.00,0,0,0,0
29-09-2023 10:08:00,19598.65,19601.45,19598.20,19598.50,0.00,0,0,0,0
29-09-2023 10:07:00,19604.75,19605.00,19598.15,19598.35,0.00,0,0,0,0
29-09-2023 10:06:00,19606.50,19607.75,19603.45,19603.45,0.00,0,0,0,0
29-09-2023 10:05:00,19598.90,19605.85,19598.90,19605.85,0.00,0,0,0,0
