time,into,inth,intl,intc,intvwap,intv,v,intoi,oi
29-09-2023 14:30:00,19714.70,19722.45,19714.70,19718.90,0.00,0,0,0,0
29-09-2023 14:29:00,19710.80,19714.65,19709.10,19714.65,0.00,0,0,0,0
29-09-2023 14:28:00,19704.45,19714.10,19704.30,19712.45,0.00,0,0,0,0
29-09-2023 14:27:00,19711.40,19713.15,19704.35,19705.00,0.00,0,0,0,0
29-09-2023 14:26:00,19710.90,19714.60,19708.20,19712.05,0.00,0,0,0,0
29-09-2023 14:25:00,19715.75,19716.50,19709.15,19711.95,0.00,0,0,0,0
29-09-2023 14:24:00,19720.30,19720.40,19714.80,19716.50,0.00,0,0,0,0
29-09-2023 14:23:00,19717.45,19720.65,19714.55,19720.65,0.00,0,0,0,0
29-09-2023 14:22:00,19717.45,19718.05,19713.45,19717.80,0.00,0,0,0,0
29-09-2023 14:21:00,19714.20,19718.10,19712.55,19717.20,0.00,0,0,0,0
29-09-2023 14:20:00,19712.40,19716.00,19711.50,19713.50,0.00,0,0,0,0
29-09-2023 14:19:00,19708.70,19713.70,19707.80,19712.85,0.00,0,0,0,0
29-09-2023 14:18:00,19709.50,19709.50,19704.55,19708.20,0.00,0,0,0,0
29-09-2023 14:17:00,19704.80,19710.40,19702.55,19710.40,0.00,0,0,0,0
29-09-2023 14:16:00,19708.05,19708.95,19704.45,19704.60,0.00,0,0,0,0
29-09-2023 14:15:00,19709.55,19711.45,19706.75,19707.20,0.00,0,0,0,0
29-09-2023 14:14:00,19713.30,19714.25,19709.05,19710.55,0.00,0,0,0,0
29-09-2023 14:13:00,19712.50,19716.35,19710.75,19713.70,0.00,0,0,0,0
29-09-2023 14:12:00,19712.75,19714.65,19710.65,19713.10,0.00,0,0,0,0
29-09-2023 14:11:00,19709.45,19714.95,19709.45,19713.10,0.00,0,0,0,0
29-09-2023 14:10:00,19709.70,19711.35,19707.15,19710.10,0.00,0,0,0,0
29-09-2023 14:09:00,19706.35,19710.15,19704.40,19710.05,0.00,0,0,0,0
29-09-2023 14:08:00,19712.75,19713.40,19706.50,19707.00,0.00,0,0,0,0
29-09-2023 14:07:00,19711.50,19715.50,19710.10,19713.15,0.00,0,0,0,0
29-09-2023 14:06:00,19712.40,19714.00,19710.20,19712.40,0.00,0,0,0,0
29-09-2023 14:05:00,19713.65,19714.70,19710.10,19712.55,0.00,0,0,0,0
29-09-2023 14:04:00,19716.60,19716.80,19710.65,19713.15,0.00,0,0,0,0
29-09-2023 14:03:00,19716.00,19718.20,19715.60,19717.40,0.00,0,0,0,0
29-09-2023 14:02:00,19714.45,19718.25,19712.50,19715.90,0.00,0,0,0,0
29-09-2023 14:01:00,19708.85,19716.25,19706.45,19716.05,0.00,0,0,0,0
29-09-2023 14:00:00,19699.95,19710.35,19699.50,19709.20,0.00,0,0,0,0
29-09-2023 13:59:00,19701.45,19702.65,19699.20,19700.25,0.00,0,0,0,0
29-09-2023 13:58:00,19699.65,19703.75,19696.95,19701.55,0.00,0,0,0,0
29-09-2023 13:57:00,19699.50,19702.05,19697.20,19699.80,0.00,0,0,0,0
29-09-2023 13:56:00,19695.40,19699.65,19694.15,19699.15,0.00,0,0,0,0
29-09-2023 13:55:00,19696.30,19696.30,19691.85,19695.35,0.00,0,0,0,0
29-09-2023 13:54:00,19697.45,19699.70,19694.35,19696.10,0.00,0,0,0,0
29-09-2023 13:53:00,19696.30,19698.60,19693.35,19697.75,0.00,0,0,0,0
29-09-2023 13:52:00,19693.30,19697.65,19691.60,19696.40,0.00,0,0,0,0
29-09-2023 13:51:00,19691.95,19695.70,19690.75,19693.25,0.00,0,0,0,0
29-09-2023 13:50:00,19687.70,19692.45,19686.60,19692.30,0.00,0,0,0,0
29-09-2023 13:49:00,19685.75,19689.40,19684.75,19688.45,0.00,0,0,0,0
29-09-2023 13:48:00,19685.15,19688.85,19683.20,19684.95,0.00,0,0,0,0
29-09-2023 13:47:00,19680.20,19687.70,19679.90,19686.10,0.00,0,0,0,0
29-09-2023 13:46:00,19684.25,19686.05,19677.25,19681.05,0.00,0,0,0,0
29-09-2023 13:45:00,19677.55,19685.25,19676.70,19685.10,0.00,0,0,0,0
29-09-2023 13:44:00,19677.00,19679.55,19674.75,19677.15,0.00,0,0,0,0
29-09-2023 13:43:00,19679.80,19681.40,19675.50,19677.60,0.00,0,0,0,0
29-09-2023 13:42:00,19682.30,19683.10,19676.70,19678.70,0.00,0,0,0,0
29-09-2023 13:41:00,19684.70,19685.65,19681.45,19682.75,0.00,0,0,0,0
29-09-2023 13:40:00,19684.50,19686.70,19683.20,19684.35,0.00,0,0,0,0
29-09-2023 13:39:00,19685.65,19686.50,19683.05,19685.20,0.00,0,0,0,0
29-09-2023 13:38:00,19687.35,19689.35,19684.00,19686.65,0.00,0,0,0,0
29-09-2023 13:37:00,19682.85,19688.75,19681.45,19687.75,0.00,0,0,0,0
29-09-2023 13:36:00,19678.20,19685.60,19677.30,19682.40,0.00,0,0,0,0
29-09-2023 13:35:00,19680.90,19681.60,19677.55,19679.25,0.00,0,0,0,0
29-09-2023 13:34:00,19681.85,19683.75,19679.30,19680.85,0.00,0,0,0,0
29-09-2023 13:33:00,19680.70,19682.50,19678.90,19682.50,0.00,0,0,0,0
29-09-2023 13:32:00,19680.95,19683.80,19678.70,19681.55,0.00,0,0,0,0
29-09-2023 13:31:00,19681.50,19683.30,19678.45,19681.10,0.00,0,0,0,0
29-09-2023 13:30:00,19676.80,19683.65,19675.40,19683.60,0.00,0,0,0,0
29-09-2023 13:29:00,19677.35,19677.65,19674.20,19677.35,0.00,0,0,0,0
29-09-2023 13:28:00,19673.00,19677.95,19671.55,19676.90,0.00,0,0,0,0
29-09-2023 13:27:00,19670.15,19674.15,19668.85,19674.15,0.00,0,0,0,0
29-09-2023 13:26:00,19669.25,19673.70,19667.65,19670.80,0.00,0,0,0,0
29-09-2023 13:25:00,19668.00,19671.65,19666.70,19669.55,0.00,0,0,0,0
29-09-2023 13:24:00,19670.65,19671.55,19664.10,19668.10,0.00,0,0,0,0
29-09-2023 13:23:00,19661.85,19671.85,19661.20,19671.35,0.00,0,0,0,0
29-09-2023 13:22:00,19665.05,19666.75,19658.95,19662.60,0.00,0,0,0,0
29-09-2023 13:21:00,19669.10,19670.60,19664.80,19665.75,0.00,0,0,0,0
29-09-2023 13:20:00,19666.75,19670.60,19664.95,19668.70,0.00,0,0,0,0
29-09-2023 13:19:00,19666.95,19667.70,19663.40,19666.85,0.00,0,0,0,0
29-09-2023 13:18:00,19667.30,19670.00,19663.75,19666.40,0.00,0,0,0,0
29-09-2023 13:17:00,19663.40,19668.40,19662.50,19667.60,0.00,0,0,0,0
29-09-2023 13:16:00,19667.50,19669.25,19661.30,19663.15,0.00,0,0,0,0
29-09-2023 13:15:00,19667.85,19669.15,19663.80,19667.45,0.00,0,0,0,0
29-09-2023 13:14:00,19663.00,19668.30,19661.15,19667.60,0.00,0,0,0,0
29-09-2023 13:13:00,19661.05,19663.80,19657.65,19663.10,0.00,0,0,0,0
29-09-2023 13:12:00,19664.05,19664.85,19658.95,19660.95,0.00,0,0,0,0
29-09-2023 13:11:00,19664.60,19665.50,19661.35,19664.15,0.00,0,0,0,0
29-09-2023 13:10:00,19666.30,19669.10,19663.30,19665.20,0.00,0,0,0,0
29-09-2023 13:09:00,19670.40,19670.40,19663.65,19666.25,0.00,0,0,0,0
29-09-2023 13:08:00,19670.10,19672.90,19668.60,19670.05,0.00,0,0,0,0
29-09-2023 13:07:00,19668.80,19670.65,19667.05,19669.80,0.00,0,0,0,0
29-09-2023 13:06:00,19671.10,19672.45,19667.45,19668.70,0.00,0,0,0,0
29-09-2023 13:05:00,19672.50,19673.20,19669.15,19671.45,0.00,0,0,0,0
29-09-2023 13:04:00,19664.70,19671.25,19662.55,19671.25,0.00,0,0,0,0
29-09-2023 13:03:00,19664.40,19666.15,19661.70,19664.65,0.00,0,0,0,0
29-09-2023 13:02:00,19668.20,19668.75,19662.25,19664.20,0.00,0,0,0,0
29-09-2023 13:01:00,19666.45,19670.10,19664.80,19668.15,0.00,0,0,0,0
29-09-2023 13:00:00,19658.65,19667.45,19658.25,19666.60,0.00,0,0,0,0
29-09-2023 12:59:00,19659.00,19660.00,19655.20,19658.75,0.00,0,0,0,0
29-09-2023 12:58:00,19664.20,19666.55,19656.95,19659.55,0.00,0,0,0,0
29-09-2023 12:57:00,19662.50,19667.20,19662.05,19666.50,0.00,0,0,0,0
29-09-2023 12:56:00,19664.85,19665.95,19661.00,19663.80,0.00,0,0,0,0
29-09-2023 12:55:00,19662.10,19666.80,19661.60,19665.90,0.00,0,0,0,0
29-09-2023 12:54:00,19656.75,19664.20,19655.05,19664.20,0.00,0,0,0,0
29-09-2023 12:53:00,19657.10,19658.35,19652.20,19657.75,0.00,0,0,0,0
29-09-2023 12:52:00,19655.60,19661.15,19655.60,19657.45,0.00,0,0,0,0
29-09-2023 12:51:00,19654.45,19660.40,19652.45,19657.00,0.00,0,0,0,0
29-09-2023 12:50:00,19667.75,19669.35,19655.35,19655.40,0.00,0,0,0,0
29-09-2023 12:49:00,19670.00,19673.25,19667.70,19669.20,0.00,0,0,0,0
29-09-2023 12:48:00,19666.20,19672.40,19666.20,19670.35,0.00,0,0,0,0
29-09-2023 12:47:00,19668.75,19670.90,19665.10,19667.75,0.00,0,0,0,0
29-09-2023 12:46:00,19671.30,19675.05,19669.60,19670.30,0.00,0,0,0,0
29-09-2023 12:45:00,19673.10,19675.10,19670.60,19673.10,0.00,0,0,0,0
29-09-2023 12:44:00,19670.55,19675.70,19670.40,19673.65,0.00,0,0,0,0
29-09-2023 12:43:00,19668.95,19673.40,19668.95,19672.90,0.00,0,0,0,0
29-09-2023 12:42:00,19667.20,19672.45,19667.10,19670.75,0.00,0,0,0,0
29-09-2023 12:41:00,19673.75,19676.20,19669.75,19669.75,0.00,0,0,0,0
29-09-2023 12:40:00,19675.05,19678.60,19672.85,19675.80,0.00,0,0,0,0
29-09-2023 12:39:00,19675.50,19679.90,19674.00,19676.45,0.00,0,0,0,0
29-09-2023 12:38:00,19678.05,19681.55,19675.75,19678.40,0.00,0,0,0,0
29-09-2023 12:37:00,19680.85,19684.05,19678.40,19680.20,0.00,0,0,0,0
29-09-2023 12:36:00,19682.45,19684.20,19681.05,19681.30,0.00,0,0,0,0
29-09-2023 12:35:00,19677.80,19683.95,19677.80,19683.15,0.00,0,0,0,0
29-09-2023 12:34:00,19673.70,19679.30,19673.70,19678.75,0.00,0,0,0,0
29-09-2023 12:33:00,19672.85,19676.50,19672.15,19676.20,0.00,0,0,0,0
29-09-2023 12:32:00,19669.95,19676.20,19669.95,19673.20,0.00,0,0,0,0
29-09-2023 12:31:00,19676.65,19679.45,19670.85,19670.85,0.00,0,0,0,0
29-09-2023 12:30:00,19676.45,19682.95,19676.45,19677.65,0.00,0,0,0,0
29-09-2023 12:29:00,19673.90,19680.40,19673.20,19676.85,0.00,0,0,0,0
29-09-2023 12:28:00,19672.55,19675.80,19671.75,19672.40,0.00,0,0,0,0
29-09-2023 12:27:00,19671.90,19675.85,19671.00,19672.90,0.00,0,0,0,0
29-09-2023 12:26:00,19670.25,19674.25,19670.25,19672.50,0.00,0,0,0,0
29-09-2023 12:25:00,19669.90,19673.05,19669.75,19670.15,0.00,0,0,0,0
29-09-2023 12:24:00,19668.20,19672.75,19668.20,19671.00,0.00,0,0,0,0
29-09-2023 12:23:00,19673.40,19676.75,19668.10,19668.10,0.00,0,0,0,0
29-09-2023 12:22:00,19668.15,19674.70,19665.00,19672.15,0.00,0,0,0,0
29-09-2023 12:21:00,19668.80,19672.25,19667.10,19667.75,0.00,0,0,0,0
29-09-2023 12:20:00,19665.70,19671.70,19665.20,19668.25,0.00,0,0,0,0
29-09-2023 12:19:00,19667.90,19669.90,19664.95,19665.55,0.00,0,0,0,0
29-09-2023 12:18:00,19671.00,19673.60,19666.70,19666.70,0.00,0,0,0,0
29-09-2023 12:17:00,19675.75,19678.55,19669.55,19669.55,0.00,0,0,0,0
29-09-2023 12:16:00,19668.05,19678.25,19668.05,19674.45,0.00,0,0,0,0
29-09-2023 12:15:00,19666.05,19670.05,19663.65,19669.70,0.00,0,0,0,0
29-09-2023 12:14:00,19668.80,19668.80,19662.80,19666.75,0.00,0,0,0,0
